multDepth,scaleModSize,plain_result,fhe_result,abs_error,rel_error,plain_time_sec,fhe_time_sec
1,50,8.930690193707472,8.9306901937122,4.728661906483467e-12,5.294844859600283e-13,1.9788742065429688e-05,0.09782266616821289
2,50,8.930690193707472,8.930690193703335,4.137135078963183e-12,4.632491990236311e-13,1.9788742065429688e-05,0.2492210865020752
3,50,8.930690193707472,8.930690193710403,2.9309887850104133e-12,3.281928631983647e-13,1.9788742065429688e-05,0.25919532775878906
4,50,8.930690193707472,8.930690193708083,6.110667527536862e-13,6.842323935771967e-14,1.9788742065429688e-05,0.4196357727050781
5,50,8.930690193707472,8.930690193711861,4.389377750158019e-12,4.91493675735248e-13,1.9788742065429688e-05,0.7081301212310791
6,50,8.930690193707472,8.930690193721494,1.4022560890225577e-11,1.5701542194472066e-12,1.9788742065429688e-05,1.003319501876831
7,50,8.930690193707472,8.930690193712035,4.5634607204192434e-12,5.10986342761575e-13,1.9788742065429688e-05,0.9867219924926758
8,50,8.930690193707472,8.930690193710003,2.531308496145357e-12,2.834392909440422e-13,1.9788742065429688e-05,1.2601368427276611
9,50,8.930690193707472,8.930690193712863,5.39124300757976e-12,6.036759635194163e-13,1.9788742065429688e-05,1.2631471157073975
10,50,8.930690193707472,8.930690193710587,3.1157298963080393e-12,3.488789588181404e-13,1.9788742065429688e-05,1.3854272365570068
11,50,8.930690193707472,8.930690193701395,6.076916747588257e-12,6.804532030312761e-13,1.9788742065429688e-05,2.938000202178955
12,50,8.930690193707472,8.93069019369185,1.5621282045685803e-11,1.7491685084644964e-12,1.9788742065429688e-05,2.9527721405029297
13,50,8.930690193707472,8.93069019370117,6.302514066192089e-12,7.057141082592715e-13,1.9788742065429688e-05,3.166321277618408
14,50,8.930690193707472,8.930690193720773,1.3301360013429075e-11,1.4893988846238515e-12,1.9788742065429688e-05,3.451723575592041
15,50,8.930690193707472,8.930690193714586,7.114309141798003e-12,7.966135861269398e-13,1.9788742065429688e-05,3.449422597885132
16,50,8.930690193707472,8.930690193711253,3.781863711083133e-12,4.234682459086778e-13,1.9788742065429688e-05,3.803452968597412
17,50,8.930690193707472,8.930690193702311,5.160316618457728e-12,5.778183439946966e-13,1.9788742065429688e-05,4.006315469741821
18,50,8.930690193707472,8.930690193697725,9.746869977789174e-12,1.0913904487087437e-12,1.9788742065429688e-05,4.127572536468506
19,50,8.930690193707472,8.930690193701313,6.158629162200668e-12,6.896028222477154e-13,1.9788742065429688e-05,4.194743394851685
20,50,8.930690193707472,8.930690193717018,9.546141654936946e-12,1.068914210198795e-12,1.9788742065429688e-05,4.513212203979492
21,50,8.930690193707472,8.930690193702716,4.7553072590744705e-12,5.324680574436498e-13,1.9788742065429688e-05,4.492284536361694
22,50,8.930690193707472,8.930690193697552,9.919176591210999e-12,1.110684210969496e-12,1.9788742065429688e-05,4.546756267547607
23,50,8.930690193707472,8.930690193708184,7.123190925995004e-13,7.976081099548136e-14,1.9788742065429688e-05,4.965502738952637
24,50,8.930690193707472,8.930690193703077,4.39470682067622e-12,4.920903900319723e-13,1.9788742065429688e-05,10.051480531692505
25,50,8.930690193707472,8.930690193683459,2.4012791755012586e-11,2.6887946210396932e-12,1.9788742065429688e-05,10.294429779052734
26,50,8.930690193707472,8.930690193713586,6.114220241215662e-12,6.846302031083462e-13,1.9788742065429688e-05,10.821222305297852
27,50,8.930690193707472,8.93069019370261,4.8618886694384855e-12,5.444023433781359e-13,1.9788742065429688e-05,11.367030620574951
28,50,8.930690193707472,8.930690193702828,4.643396778192255e-12,5.199370572124396e-13,1.9788742065429688e-05,11.445637226104736
29,50,8.930690193707472,8.930690193727738,2.0266455180717458e-11,2.269304470442511e-12,1.9788742065429688e-05,11.761596441268921
30,50,8.930690193707472,8.930690193716519,9.046985383065476e-12,1.0130219710722857e-12,1.9788742065429688e-05,12.230616331100464
31,50,8.930690193707472,8.930690193705624,1.8474111129762605e-12,2.0686095619775715e-13,1.9788742065429688e-05,12.374304056167603
32,50,8.930690193707472,8.930690193717554,1.0082601420435822e-11,1.1289834494023746e-12,1.9788742065429688e-05,13.3630211353302
33,50,8.930690193707472,8.930690193696028,1.1443290759416413e-11,1.2813444998326456e-12,1.9788742065429688e-05,13.366404294967651
34,50,8.930690193707472,8.930690193696112,1.1359801987964602e-11,1.2719959758506316e-12,1.9788742065429688e-05,13.521049499511719
35,50,8.930690193707472,8.930690193693373,1.4098944234319788e-11,1.5787071243669215e-12,1.9788742065429688e-05,14.349660634994507
36,50,8.930690193707472,8.930690193712365,4.89386309254769e-12,5.479826291584817e-13,1.9788742065429688e-05,14.708331823348999
37,50,8.930690193707472,8.930690193699764,7.707612326157687e-12,8.630477778289117e-13,1.9788742065429688e-05,15.104488849639893
38,50,8.930690193707472,8.930690193691913,1.5559109556306794e-11,1.7422068416693795e-12,1.9788742065429688e-05,15.263349056243896
39,50,8.930690193707472,8.930690193691163,1.63087321425337e-11,1.826144652741931e-12,1.9788742065429688e-05,15.40099287033081
40,50,8.930690193707472,8.930690193726297,1.8825829783963854e-11,2.1079927055613753e-12,1.9788742065429688e-05,15.88325834274292
41,50,8.930690193707472,8.930690193697409,1.0063061495202419e-11,1.1267954969810521e-12,1.9788742065429688e-05,16.737253427505493
42,50,8.930690193707472,8.930690193688088,1.9383605831535533e-11,2.170448801951852e-12,1.9788742065429688e-05,16.747227430343628
43,50,8.930690193707472,8.930690193701238,6.233236149455479e-12,6.979568224018556e-13,1.9788742065429688e-05,17.144815921783447
44,50,8.930690193707472,8.930690193722045,1.4573231510439655e-11,1.6318146967753842e-12,1.9788742065429688e-05,17.55790638923645
45,50,8.930690193707472,8.930690193706674,7.975842208907125e-13,8.930823974307015e-14,1.9788742065429688e-05,17.688796997070312
46,50,8.930690193707472,8.930690193728402,2.093081263865315e-11,2.3436948527674734e-12,1.9788742065429688e-05,17.910120725631714
47,50,8.930690193707472,8.930690193719348,1.1876721828230075e-11,1.3298772626328887e-12,1.9788742065429688e-05,18.880747318267822
48,50,8.930690193707472,8.930690193726333,1.886135692075186e-11,2.1119708008728706e-12,1.9788742065429688e-05,19.215120792388916
49,50,8.930690193707472,8.930690193720599,1.3127277043167851e-11,1.4699062175975243e-12,1.9788742065429688e-05,19.441922903060913
50,50,8.930690193707472,8.93069019370578,1.6910917111090384e-12,1.893573368271777e-13,1.9788742065429688e-05,63.55932903289795
