scaleModSize,fhe_time_sec,abs_error,multDepth,plain_result,fhe_result,rel_error,plain_time_sec
1,ERROR,ERROR,,,,,
2,ERROR,ERROR,,,,,
3,ERROR,ERROR,,,,,
4,ERROR,ERROR,,,,,
5,ERROR,ERROR,,,,,
6,ERROR,ERROR,,,,,
7,ERROR,ERROR,,,,,
8,ERROR,ERROR,,,,,
9,ERROR,ERROR,,,,,
10,ERROR,ERROR,,,,,
11,ERROR,ERROR,,,,,
12,ERROR,ERROR,,,,,
13,ERROR,ERROR,,,,,
14,ERROR,ERROR,,,,,
15,ERROR,ERROR,,,,,
16,ERROR,ERROR,,,,,
17,ERROR,ERROR,,,,,
18,ERROR,ERROR,,,,,
19,ERROR,ERROR,,,,,
20,0.5219383239746094,0.00238058052426382,2.0,8.930690193707472,8.933070774231735,0.00026656176315926485,1.9788742065429688e-05
21,0.43842053413391113,0.0010635921058561593,2.0,8.930690193707472,8.929626601601615,0.00011909405463483237,1.9788742065429688e-05
22,0.20590448379516602,0.0002944416764929514,2.0,8.930690193707472,8.930395752030979,3.296964401479449e-05,1.9788742065429688e-05
23,0.15336275100708008,0.0011915698154041365,2.0,8.930690193707472,8.929498623892067,0.00013342415754649195,1.9788742065429688e-05
24,0.4038236141204834,0.00027819030921705235,2.0,8.930690193707472,8.930412003398255,3.114992270284598e-05,1.9788742065429688e-05
25,0.14672493934631348,0.00017189595616251552,2.0,8.930690193707472,8.93051829775131,1.924777955948273e-05,1.9788742065429688e-05
26,0.1685183048248291,3.443076986542337e-05,2.0,8.930690193707472,8.930655762937606,3.855331348262775e-06,1.9788742065429688e-05
27,0.16607165336608887,6.216211379417302e-05,2.0,8.930690193707472,8.930628031593677,6.960505005309914e-06,1.9788742065429688e-05
28,0.22753286361694336,9.80824170326855e-07,2.0,8.930690193707472,8.930691174531642,1.098262451224587e-07,1.9788742065429688e-05
29,0.15637946128845215,9.003730074397254e-06,2.0,8.930690193707472,8.930699197437546,1.0081785258592047e-06,1.9788742065429688e-05
30,0.21876883506774902,2.3093052679001858e-06,2.0,8.930690193707472,8.930687884402204,2.5858082833590094e-07,1.9788742065429688e-05
31,0.29605555534362793,2.6822311856022907e-06,2.0,8.930690193707472,8.930687511476286,3.0033862192332904e-07,1.9788742065429688e-05
32,0.18634247779846191,6.74271465328502e-08,2.0,8.930690193707472,8.930690261134618,7.550048772306434e-09,1.9788742065429688e-05
33,0.35323238372802734,5.369752678063833e-07,2.0,8.930690193707472,8.93069073068274,6.012696176435881e-08,1.9788742065429688e-05
34,0.4468421936035156,6.026104486522854e-07,2.0,8.930690193707472,8.930689591097023,6.747635799491537e-08,1.9788742065429688e-05
35,0.21687984466552734,1.3059299597273366e-07,2.0,8.930690193707472,8.930690324300468,1.4622945499189856e-08,1.9788742065429688e-05
36,0.35766053199768066,5.386386092709472e-08,2.0,8.930690193707472,8.93069013984361,6.031321181093817e-09,1.9788742065429688e-05
37,0.18030834197998047,7.725710737815916e-08,2.0,8.930690193707472,8.930690116450364,8.650743190329703e-09,1.9788742065429688e-05
38,0.3465397357940674,5.639282818492575e-09,2.0,8.930690193707472,8.930690188068189,6.314498315556832e-10,1.9788742065429688e-05
39,0.3247556686401367,2.8297790777287446e-09,2.0,8.930690193707472,8.93069019653725,3.168600652749768e-10,1.9788742065429688e-05
40,0.2777063846588135,6.18593354317909e-09,2.0,8.930690193707472,8.930690199893405,6.926601873993651e-10,1.9788742065429688e-05
41,0.15756773948669434,4.371537798419922e-09,2.0,8.930690193707472,8.930690189335934,4.894960751745806e-10,1.9788742065429688e-05
42,0.15065717697143555,1.0967173835751964e-09,2.0,8.930690193707472,8.930690192610754,1.228032055515641e-10,1.9788742065429688e-05
43,0.15900039672851562,5.035865058289346e-10,2.0,8.930690193707472,8.930690194211058,5.638830761185285e-11,1.9788742065429688e-05
44,0.1687028408050537,8.248157712387183e-11,2.0,8.930690193707472,8.930690193789953,9.235744979933131e-12,1.9788742065429688e-05
45,0.18651199340820312,1.5763390592837823e-11,2.0,8.930690193707472,8.930690193691708,1.7650808897104777e-12,1.9788742065429688e-05
46,0.15723609924316406,1.3534062759390508e-11,2.0,8.930690193707472,8.930690193693938,1.5154554089141459e-12,1.9788742065429688e-05
47,0.185699462890625,1.546851535749738e-11,2.0,8.930690193707472,8.93069019372294,1.7320626986250664e-12,1.9788742065429688e-05
48,0.16220545768737793,1.6418866266576515e-11,2.0,8.930690193707472,8.93069019372389,1.8384767482075665e-12,1.9788742065429688e-05
49,0.4297208786010742,1.142197447734361e-12,2.0,8.930690193707472,8.93069019370633,1.2789576426457486e-13,1.9788742065429688e-05
50,0.15221500396728516,8.004263918337529e-12,2.0,8.930690193707472,8.930690193715476,8.962648736798977e-13,1.9788742065429688e-05
51,0.14913725852966309,5.213607323639735e-12,2.0,8.930690193707472,8.930690193712685,5.837854869619396e-13,1.9788742065429688e-05
52,0.15397071838378906,1.0054179711005418e-12,2.0,8.930690193707472,8.930690193706466,1.1258009731531783e-13,1.9788742065429688e-05
53,0.17006707191467285,6.039613253960852e-14,2.0,8.930690193707472,8.930690193707532,6.76276202954206e-15,1.9788742065429688e-05
54,0.24274921417236328,1.829647544582258e-13,2.0,8.930690193707472,8.930690193707655,2.0487190854200948e-14,1.9788742065429688e-05
55,0.15427398681640625,9.237055564881302e-14,2.0,8.930690193707472,8.930690193707564,1.0343047809887857e-14,1.9788742065429688e-05
56,0.16261720657348633,3.552713678800501e-15,2.0,8.930690193707472,8.930690193707475,3.97809531149533e-16,1.9788742065429688e-05
57,0.14978909492492676,1.0658141036401503e-14,2.0,8.930690193707472,8.930690193707461,1.193428593448599e-15,1.9788742065429688e-05
58,0.26711297035217285,1.4210854715202004e-14,2.0,8.930690193707472,8.930690193707457,1.591238124598132e-15,1.9788742065429688e-05
59,0.1570119857788086,1.5987211554602254e-14,2.0,8.930690193707472,8.930690193707456,1.7901428901728984e-15,1.9788742065429688e-05
60,ERROR,ERROR,,,,,
